text,timestamp,source,url,ticker,company_names
Caledonia Investments Plc Increases Position in Ecolab INC $ECL - https://t.co/X8gXtpCTyE,Mon Jul 09 19:16:09 +0000 2018,bibeypost_stock,https://www.bibeypost.com/caledonia-investments-plc-increases-position-in-ecolab-inc-ecl/,,
https://t.co/9VjKMnGXvX $AMD $ATUS $AUO $BAK $BLUE $BRFS $CEO $CMG $DISCA $DLPH $DO $EWBC $GGB $HELE $HES $INGN $LCâ€¦ https://t.co/BtPzMu3ptc,Mon Jul 09 19:18:16 +0000 2018,42Stocks,http://42stocks.com,,
Stericycle INC $SRCL Market Valuation Rose While Welch &amp; Forbes LLC Trimmed Holding by $4.14 Million - https://t.co/wtBNZhbcWD,Mon Jul 09 19:22:18 +0000 2018,whatsonthorold2,https://www.whatsonthorold.com/2018/07/09/stericycle-inc-srcl-market-valuation-rose-while-welch-forbes-llc-trimmed-holding-by-4-14-million/,,
As Stericycle INC $SRCL Share Value Rose Welch &amp; Forbes LLC Decreased Its Holding https://t.co/9ZUbtGdWh9,Mon Jul 09 19:23:04 +0000 2018,reurope_stock,https://reurope.com/2018/07/09/as-stericycle-inc-srcl-share-value-rose-welch-forbes-llc-decreased-its-holding/,,
As Stericycle INC $SRCL Market Value Rose Welch &amp; Forbes LLC Has Decreased Stake - https://t.co/KgbZ9NRI6L,Mon Jul 09 19:23:19 +0000 2018,bibeypost_stock,https://www.bibeypost.com/as-stericycle-inc-srcl-market-value-rose-welch-forbes-llc-has-decreased-stake/,,
@TurquoiseHillRe @jeffsmithmedia @OTMongolia @Erdenes_OT Humble twitterer I know you get tired of the minority druâ€¦ https://t.co/Y6tnfL71qP,Mon Jul 09 19:27:45 +0000 2018,GWilem1,https://twitter.com/i/web/status/1016403552628039681,,
"Alert* Misinformation on behalf of @MinerGate blog post ""Most Important Forks of Summer 2018"" #EtherEmerald $ETEâ€¦ https://t.co/l2FhKrTGVo",Mon Jul 09 19:32:01 +0000 2018,ClassicIsComing,https://twitter.com/i/web/status/1016404624922693633,,
Ready for tonightâ€™s #earnings reports? 33% OFF streaming #market coverage #analysis &amp; #ideas https://t.co/fyi6nOd4ek #stocks $CSX $EBAY $SLM,Mon Jul 09 19:33:00 +0000 2018,Briefingcom,http://bit.ly/29DGlkl,,
ONEOK Inc. $OKE Just Reaches All-Time High? - https://t.co/SaFCleLHtD,Mon Jul 09 19:33:14 +0000 2018,whatsonthorold2,https://www.whatsonthorold.com/2018/07/09/oneok-inc-oke-just-reaches-all-time-high/,,
ONEOK Inc. $OKE Stock Is An Record High Flier https://t.co/h0vzGF0IJS,Mon Jul 09 19:34:09 +0000 2018,reurope_stock,https://reurope.com/2018/07/09/oneok-inc-oke-stock-is-an-record-high-flier/,,
Time to Reconsider ONEOK Inc. $OKE After Making All Time High? - https://t.co/hPDmgp2I2W,Mon Jul 09 19:34:35 +0000 2018,bibeypost_stock,https://www.bibeypost.com/time-to-reconsider-oneok-inc-oke-after-making-all-time-high/,,
American Electric Power Company Inc $AEP Receives $74.08 Consensus Target Price from Brokerages https://t.co/yz5DZw9rEs,Mon Jul 09 19:39:00 +0000 2018,TranscriptDaily,http://zpr.io/6TjQy,,
Swing account: Closed: $WYNN: +6.87% $HSIC: +3.34% $COPPER: +0.17% $DIS: B/E Short $QSR: -3.23% Short $KNX: -5.66%â€¦ https://t.co/Tw6rMLWTVG,Mon Jul 09 19:40:19 +0000 2018,tradertob,https://twitter.com/i/web/status/1016406717347835904,,
â€œI donâ€™t throw darts at a board. I bet on sure things. Read Sun-tzu The Art of War. Every battle is won before itâ€¦ https://t.co/39ywXMXLbO,Mon Jul 09 19:41:37 +0000 2018,stickycactusink,https://twitter.com/i/web/status/1016407044486811652,,
Pricing power $TXMD $AGN $VRX $HOLX $JNJ $ABBV $TEVA $PFE https://t.co/PC3QGel5Wg,Mon Jul 09 19:48:21 +0000 2018,DarkSideOfTheSt,https://twitter.com/NYTHealth/status/1004015430330126337,,
https://t.co/9VjKMnGXvX $AMD $ATUS $AUO $BAK $BLUE $BRFS $CAT $CEO $CMG $DISCA $DLPH $DO $EWBC $GGB $HELE $HESâ€¦ https://t.co/YlnspxYgCz,Mon Jul 09 19:48:41 +0000 2018,42Stocks,http://42stocks.com,,
RT @TamaleNacho: $GNCA 'Methods for improving the immunogenicity and efficacy of cancer vaccines' https://t.co/yupUTMQN8C Genocea's ATLAS iâ€¦,Mon Jul 09 19:51:22 +0000 2018,TamaleNacho,https://www.ncbi.nlm.nih.gov/m/pubmed/29874943/?i=2&from=neoantigens%20cancer%20vaccine,,
"RT @TamaleNacho: ""Therapeutic Cancer Vaccine: building the future from lessons of the past"" https://t.co/pb0vrNoyhw ID of stimulatory neoanâ€¦",Mon Jul 09 19:51:32 +0000 2018,TamaleNacho,https://www.ncbi.nlm.nih.gov/m/pubmed/29978248/,,
Zacks: Brokerages Anticipate Zimmer Biomet Holdings Inc $ZBH Will Post Quarterly Sales of $2.00 Billion https://t.co/iADXGkH1xM,Mon Jul 09 19:52:40 +0000 2018,TheMarketsDaily,http://zpr.io/6TsDH,,
Brokerages Expect Zimmer Biomet Holdings Inc $ZBH Will Announce Earnings of $1.88 Per Share https://t.co/L8MCZBdEiU,Mon Jul 09 19:54:05 +0000 2018,ledgerzette,http://ledgergazette.com/?p=2815670,,
