Date,Open,High,Low,Close,Adj Close,Volume
09/03/2020,173.580002,179.25,170.160004,172.809998,169.113297,6443000
10/03/2020,181.619995,185.399994,173.289993,184.350006,180.406464,6803900
11/03/2020,178.479996,180.770004,170.970001,171.889999,168.212982,5314000
12/03/2020,160,166.75,150,150.679993,147.456696,8357700
13/03/2020,162.820007,177.559998,152.350006,177.169998,173.380051,6368400
16/03/2020,150.229996,169.539993,150,154.660004,151.351563,6888000
17/03/2020,157,166.740005,150,158.669998,155.275772,6876300
18/03/2020,150,155.970001,135.410004,140.020004,137.024719,9543200
19/03/2020,137.380005,152.490005,130.850006,149.490005,146.292175,6548200
20/03/2020,148.990005,149.190002,138.289993,138.410004,135.449173,7561300
23/03/2020,136.029999,141.940002,133.259995,134.970001,132.082764,5472600
24/03/2020,144.320007,153.899994,143.630005,153.600006,150.31424,6647400
25/03/2020,154.600006,162.210007,145.320007,155.130005,151.811508,8587800
26/03/2020,156.369995,167.660004,154.309998,165.789993,162.243469,6762200
27/03/2020,159.080002,163.729996,157,158.339996,154.952835,4186700
30/03/2020,158.520004,160.429993,153.179993,159.619995,156.20546,4152800
31/03/2020,158.130005,161.100006,153.720001,154.589996,151.283066,3588200
01/04/2020,146.100006,149.570007,145,145.289993,142.182007,4689100
02/04/2020,143.020004,150.449997,141.669998,149.929993,146.722733,4446900
03/04/2020,149.199997,150.919998,145.229996,146.929993,143.786926,2801600
06/04/2020,155.470001,158.929993,153.770004,158.229996,154.845184,4689400
07/04/2020,166,169.139999,162.449997,166.020004,162.468567,4953500
08/04/2020,168.550003,178.100006,168.550003,176.960007,173.17453,5194800
09/04/2020,180.580002,187.330002,179.770004,184.259995,180.318375,6449900
13/04/2020,183.850006,184.970001,179.130005,179.179993,175.347015,4774300
14/04/2020,182.350006,183.380005,174.539993,178.229996,174.417358,4149600
15/04/2020,170.630005,181.679993,169.149994,178.520004,174.701157,6042700
16/04/2020,177.220001,178.440002,172.389999,177.039993,173.252808,4662200
17/04/2020,183.490005,185.279999,178.289993,183.490005,179.564835,5426700
20/04/2020,179.699997,186.320007,178.020004,180.399994,176.540939,4674800
21/04/2020,175.440002,179.199997,173.660004,173.809998,170.091904,3819000
22/04/2020,177.5,178.179993,174.470001,175.979996,172.215485,2316600
23/04/2020,177,179.070007,174.449997,175.050003,171.305389,2013300
24/04/2020,177,177.949997,173.490005,177,173.213669,2024400
27/04/2020,179.100006,184.25,178.720001,183.539993,179.613754,2743100
28/04/2020,189.160004,190.419998,184.869995,187.009995,183.009552,3344700
29/04/2020,192.610001,193.720001,189.570007,190.029999,185.964951,3086300
30/04/2020,186,187.550003,182.899994,183.419998,179.496323,2695400
01/05/2020,179,179.600006,176.649994,177.100006,173.311523,2650200
04/05/2020,175,176.309998,171.720001,176.029999,172.264435,2990100
05/05/2020,179.100006,182.600006,178.139999,178.300003,174.48587,3272600
06/05/2020,179.679993,181.199997,175.210007,176.919998,173.135376,2408700
07/05/2020,179.179993,183.380005,179.179993,182.320007,178.419876,2480100
08/05/2020,185.029999,185.910004,182.740005,185.389999,181.424194,2282600
11/05/2020,182.539993,184.850006,181.259995,183.160004,179.241913,2212200
12/05/2020,183.889999,184.300003,176.75,177.210007,173.419189,3549200
13/05/2020,175.660004,176.880005,170.759995,171.800003,168.124893,3445300
14/05/2020,169.039993,174.779999,165.360001,174.449997,170.718216,4176700
15/05/2020,173.479996,174.089996,170.580002,171.869995,168.193405,2867800
18/05/2020,177.710007,183.100006,175.240005,181.880005,177.989288,4512600
19/05/2020,180.559998,182.190002,177.720001,177.830002,174.025909,2210500
20/05/2020,180.949997,183.830002,180.300003,181.440002,177.558685,2599900
21/05/2020,180.199997,181.169998,177.679993,180.100006,176.24736,2153500
22/05/2020,180.029999,180.639999,178.059998,179.929993,176.080994,2176400
26/05/2020,185.630005,197.100006,185.220001,196.059998,191.865936,5971200
27/05/2020,203,210.710007,200.009995,209.660004,205.175034,8182100
28/05/2020,210.839996,211.309998,201.210007,201.220001,196.915558,4886100
29/05/2020,197.229996,200.919998,194.649994,196.490005,193.488739,3824500
01/06/2020,197.309998,201.770004,195.119995,199.929993,196.87616,2230800
02/06/2020,203.770004,206.5,201.320007,204.139999,201.021881,4128700
03/06/2020,208.490005,211.929993,206.429993,210.570007,207.353668,3471900
04/06/2020,208.789993,214.990005,207.960007,214.820007,211.538742,3522300
05/06/2020,222,222.979996,217.660004,217.919998,214.591385,4737600
08/06/2020,220.020004,222.259995,218.240005,220.809998,217.437241,3260300
09/06/2020,215.740005,220.020004,215.160004,218.100006,214.768646,2478400
10/06/2020,217.389999,219.850006,212.800003,213.520004,210.258591,3091200
11/06/2020,204.699997,206.899994,194.020004,194.130005,191.164764,4923400
12/06/2020,200.619995,202.940002,196.210007,201.779999,198.697906,3380800
15/06/2020,195.729996,206.990005,195.149994,206.309998,203.158737,3467400
16/06/2020,214.979996,214.979996,203.729996,209.589996,206.388611,3099100
17/06/2020,210,210.789993,205.440002,206.190002,203.040558,1798300
18/06/2020,203.990005,207.259995,202.669998,203.839996,200.72644,2051700
19/06/2020,207.050003,207.419998,200.970001,201.630005,198.550201,4962400
22/06/2020,200.990005,204.580002,200,203.419998,200.312851,1806900
23/06/2020,206.5,207.509995,203.639999,204.779999,201.6521,2451800
24/06/2020,202.339996,202.610001,197.380005,198.020004,194.995346,2756700
25/06/2020,197.860001,207.389999,197.610001,207.100006,203.936676,3466500
26/06/2020,199,200.240005,188.509995,189.190002,186.300232,9530700
29/06/2020,191.380005,193.899994,188.660004,193.470001,190.514847,3736000
30/06/2020,193.839996,198.410004,193.619995,197.619995,194.601456,3102800
01/07/2020,198.880005,199.740005,195.520004,197.570007,194.552231,2620100
02/07/2020,202.5,203,197.130005,197.399994,194.384811,2699400
06/07/2020,201.339996,207.789993,201.130005,207.360001,204.192703,3567700
07/07/2020,205.5,205.710007,199.190002,199.360001,196.314896,2853500
08/07/2020,199.539993,203.25,199.020004,202.25,199.160736,2789700
09/07/2020,202.110001,202.5,195,196.830002,193.823532,3160100
10/07/2020,196.869995,206.320007,196.830002,205.559998,202.420181,4414800
13/07/2020,209,212.979996,207,208.880005,205.689468,4449600
14/07/2020,211.429993,214.300003,207.009995,214.009995,210.741104,5202000
15/07/2020,224.369995,225.240005,214.690002,216.899994,213.58696,12516700
16/07/2020,213.509995,220.460007,213.5,214.669998,211.391037,5769600
17/07/2020,214.899994,215.169998,211.25,211.410004,208.180832,3614300
20/07/2020,210.729996,213.169998,210.25,211.710007,208.476242,2268700
21/07/2020,212.25,213.809998,210.389999,212.020004,208.781509,3394200
22/07/2020,210.5,211,205.350006,206,202.853455,4978400
23/07/2020,205.100006,206.020004,202.050003,203.020004,199.918991,4088600
24/07/2020,203,204.929993,201.320007,201.470001,198.392654,3191500
27/07/2020,200.100006,204.179993,199.589996,203.020004,199.918991,2601200
28/07/2020,201.910004,203.600006,201.089996,201.619995,198.540359,2139600
29/07/2020,201.699997,203.889999,199.619995,202.580002,199.485703,2635000
30/07/2020,199.5,199.990005,196.300003,199.529999,196.4823,3057900
31/07/2020,199.839996,199.839996,196.509995,197.960007,194.936264,2401100
03/08/2020,198.490005,199.880005,196.529999,199.389999,196.344421,2294600
04/08/2020,199.350006,201.720001,198.479996,201.639999,198.560059,1944700
05/08/2020,203.169998,204.809998,203.009995,204.520004,201.396088,2323200
06/08/2020,205,206.289993,203.830002,204.25,201.130203,1882400
07/08/2020,203.479996,208.800003,202.449997,208.270004,205.088791,3075000
10/08/2020,209.589996,210.639999,208.039993,209.380005,206.181839,2432800
11/08/2020,212.720001,216.949997,210.529999,211.059998,207.836166,4042700
12/08/2020,214.699997,215.949997,209.270004,212.130005,208.889832,2439400
13/08/2020,210.410004,212.199997,207.690002,208.389999,205.20697,2219900
14/08/2020,207.460007,209.479996,206.610001,207.970001,204.793365,2287600
17/08/2020,207,207.850006,202.529999,203.070007,199.968216,3922600
18/08/2020,203.449997,203.580002,201.100006,201.309998,198.235092,3067900
19/08/2020,202.399994,206.100006,201.770004,203.020004,199.918991,2458500
20/08/2020,200.759995,203.279999,200.339996,201.850006,198.766846,1764200
21/08/2020,200.110001,203.350006,199.820007,202.429993,199.337982,1780900
24/08/2020,203.110001,207.429993,201.320007,207.339996,204.173004,3097400
25/08/2020,209.990005,210.490005,205.169998,206,202.853455,2627600
26/08/2020,205.889999,207.279999,205.029999,207.220001,204.054825,2563200
27/08/2020,206.679993,213,206.410004,210.149994,206.940048,3692400
28/08/2020,211.889999,212,207.089996,207.710007,204.537338,3697400
31/08/2020,205.5,206.410004,203.630005,204.869995,202.962128,3046200
